,it,ft,bt,km,transmission,ownerno,owner,oem,model,modelyear,centralvariantid,variantname,price,priceactual,pricesaving,pricefixedtext,trendingtext,row_index,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownership,engine_displacement,transmission,year_of_manufacture,rto,top_features,color,engine_type,displacement,max_power,max_torque,no_of_cylinder,values_per_cylinder,fuel_suppy_system,turbo_charger,length,width,height,wheel_base,kerb_weight,gear_box,drive_type,seating_capacity,steering_type,front_brake_type,rear_brake_type,tyre_type,alloy_wheel_size,no_door_numbers,cargo_volumn,value_configuration,super_charger,turning_radius,top_speed,acceleration,gross_weight,front_tread,rear_tread,borex_stroke,compression_ratio,ground_clearance_unladen,city
20,0,Diesel,SUV,"1,50,000",Manual,1,1st Owner,Tata,Tata Safari Storme,2013,2876,EX,₹ 3.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",20,2013,Third Party insurance,Diesel,7 Seats,"1,50,000 Kms",First Owner,2179 cc,Manual,2013,UK07,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking",Others,VTT VariCOR Diesel Engine,2179,138.1bhp@4000rpm,320Nm@1700-2700rpm,4.0,4.0,Direct Injection Common Rail ,Yes,4655mm,1965mm,1922mm,2650mm,2000kg,5 Speed,FWD,7,Power,Ventilated Disc,Ventilated Disc ,"Tubeless,Radial",,5,,DOHC,No,5.4 metres,,,2555kg,,,,,,delhi
21,0,Diesel,SUV,"83,329",Manual,1,1st Owner,Hyundai,Hyundai Venue,2019,6949,SX Opt Diesel BSIV,₹ 8.39 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",21,Nov 2019,Comprehensive,Diesel,5 Seats,"83,329 Kms",First Owner,1396 cc,Manual,2019,HR51,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Audio System Remote Control",Silver,,1396,88.7bhp@4000rpm,220Nm@1500-2700rpm,4.0,4.0,CRDi,No,3995 mm,1770 mm,1605 mm,2500 mm,1260,6-Speed,FWD,5,Power,Disc,Drum,Radial,16,5,350 L,,,,,,,,,,,190mm,delhi
22,0,Petrol,Hatchback,"43,000",Manual,1,1st Owner,Maruti,Maruti Zen Estilo,2008,5765,1.1 LXI BSIII,₹ 1.20 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",22,2008,Third Party insurance,Petrol,5 Seats,"43,000 Kms",First Owner,1061 cc,Manual,2008,,"Power Steering, Power Windows Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Integrated Antenna",Medium Blue,"1.1L, 4-Cyl, F10D Petrol",1061,64bhp@6200rpm,84Nm@3500rpm,4.0,4.0,MPFi,No,,,,,875,5 Speed,2WD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",13,5,,,No,4.6 m,130 kmph,16.26 seconds,,,,,,,delhi
23,0,Petrol,Hatchback,"8,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10 Nios,2022,7091,Sportz,₹ 7.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",23,2022,Third Party insurance,Petrol,5 Seats,"8,000 Kms",First Owner,1197 cc,Manual,2022,,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",White,1.2 Kappa petrol,1197,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,No,3805mm,1680,1520,2450,1160,5-Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",14,5,,,,,,,,,,,,,delhi
24,0,Petrol,SUV,"11,404",Automatic,1,1st Owner,Skoda,Skoda Kushaq,2021,8478,1.0 TSI Ambition AT BSVI,₹ 12.84 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",24,Jan 2022,Comprehensive,Petrol,5 Seats,"11,404 Kms",First Owner,999 cc,Automatic,2021,UP80,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Red,1.0 TSI Petrol Engine,999,113.98bhp@5000-5500rpm,178Nm@1750-4500rpm,3.0,4.0,TSI,Yes,4225mm,1760mm,1612mm,2651mm,1245-1280 kg,6-speed,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",16,5,385/1405,,,,,,1660 kg,,,,,155mm,delhi
25,0,Petrol,SUV,"70,000",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2019,8179,1.6 VTVT SX Plus,₹ 8.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",25,2019,Third Party insurance,Petrol,5 Seats,"70,000 Kms",Second Owner,1591 cc,Manual,2019,HR72,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFi,No,4270mm,1780mm,1630mm,2590mm,1280,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400-litres,DOHC,No,5.3 metres,,,,,,,,,delhi
26,0,Diesel,Hatchback,"23,000",Manual,1,1st Owner,Tata,Tata Altroz,2023,10226,XZ Diesel,₹ 8.70 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",26,Jan 2023,Comprehensive,Diesel,5 Seats,"23,000 Kms",First Owner,1497 cc,Manual,2023,UP16,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Red,1.5 l Turbocharged Revotorq,1497,88.77bhp@4000rpm,200Nm@1250-3000rpm,4.0,4.0,,Yes,3990mm,1755,1523,2501,1105,5-Speed,,5,Electric,Disc,Drum,"Tubeless,Radial",16,5,345,,,5.0,,,,,,,,,delhi
27,0,Petrol,Hatchback,"19,044",Manual,1,1st Owner,Maruti,Maruti Ignis,2022,7586,Zeta BSVI,₹ 6.34 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",27,Jun 2022,Comprehensive,Petrol,5 Seats,"19,044 Kms",First Owner,1197 cc,Manual,2022,HR98,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Blue,VVT,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,,,3700mm,1690,1595,2435,840-865,5 Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",15,5,260,,,4.7,,,,,,,,,delhi
28,0,Petrol,Sedan,"23,500",Automatic,1,1st Owner,BMW,BMW 7 Series,2017,5547,740Li DPE Signature,₹ 75 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",28,Jun 2017,Comprehensive,Petrol,5 Seats,"23,500 Kms",First Owner,2998 cc,Automatic,2017,HR26,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Blue,TwinPower Turbo Inline 6 Cylinder Engine,2998,321.84bhp@5500rpm,450Nm@1380-5000rpm,6.0,4.0,Direct Injection,Yes,5238mm,1902mm,1479mm,3210mm,2220,8 Speed,RWD,5,Power,Disc,Disc,Run-Flat,19,4,515,,No,6.25m,250 kmph,6.11 Seconds,,1618mm,1650mm,,,,delhi
29,0,Petrol,SUV,"17,367",Manual,1,1st Owner,Hyundai,Hyundai Creta,2019,6430,1.6 SX,₹ 12.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",29,Apr 2019,Comprehensive,Petrol,5 Seats,"17,367 Kms",First Owner,1591 cc,Manual,2019,HR26,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",White,VTVT Petrol Engine,1591,121.3bhp@6400rpm,151Nm@4850rpm,4.0,4.0,MPFI,No,4270mm,1780mm,1665mm,2590mm,1260,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400,DOHC,No,5.3 metres,,,,,,,,190mm,delhi
