,it,ft,bt,km,transmission,ownerno,owner,oem,model,modelyear,centralvariantid,variantname,price,priceactual,pricesaving,pricefixedtext,trendingtext,row_index,registration_year,insurance_validity,fuel_type,seats,kms_driven,rto,ownership,engine_displacement,transmission,year_of_manufacture,top_features,color,engine_type,displacement,max_power,max_torque,no_of_cylinder,values_per_cylinder,value_configuration,fuel_suppy_system,borex_stroke,compression_ratio,turbo_charger,super_charger,length,width,height,wheel_base,front_tread,rear_tread,kerb_weight,gross_weight,gear_box,drive_type,seating_capacity,steering_type,turning_radius,front_brake_type,rear_brake_type,tyre_type,alloy_wheel_size,no_door_numbers,cargo_volumn,top_speed,acceleration,ground_clearance_unladen,city
10,0,Petrol,Hatchback,"70,000",Automatic,1,1st Owner,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,₹ 5.30 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",10,2018,Third Party insurance,Petrol,5 Seats,"70,000 Kms",TS08,First Owner,1199 cc,Automatic,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Orange,Revotron Engine,1199,83.83bhp@6000rpm,114Nm@3500rpm,3.0,4.0,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,Tubeless,14,5,242-litres,150 kmph,,,hyderabad
11,0,Petrol,Hatchback,"33,730",Manual,1,1st Owner,Datsun,Datsun RediGO,2021,7846,1.0 T Option,₹ 4.66 Lakh,₹ 4.89 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",11,Jan 2022,Third Party insurance,Petrol,5 Seats,"33,730 Kms",TS32,First Owner,999 cc,Manual,2021,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Blue,1.0 L Petrol Engine,999,67.05bhp@5550rpm,91nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,3435mm,1574mm,1546mm,2348mm,,,750,,5-Speed,FWD,5,Power,4.7m,Disc,Drum,tubeless tyre,,5,222,,,,hyderabad
12,0,Petrol,Hatchback,"51,113",Manual,1,1st Owner,Renault,Renault KWID,2020,7191,Climber 1.0 MT Opt BSIV,₹ 4.57 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",12,Jun 2020,Comprehensive,Petrol,5 Seats,"51,113 Kms",TS07,First Owner,999 cc,Manual,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Blue,Petrol Engine,999,67bhp@5500rpm,91Nm@4250rpm,3.0,4.0,DOHC,MPFi,,,No,No,3731mm,1579mm,1474mm,2422mm,,,765,,5 Speed,FWD,5,Power,4.9 metres,Disc,Drum,"Tubeless,Radial",,5,279,,,184mm,hyderabad
13,0,Diesel,Hatchback,"40,000",Manual,2,2nd Owner,Volkswagen,Volkswagen Polo,2013,1953,Diesel Comfortline 1.2L,₹ 3.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",13,2013,Third Party insurance,Diesel,5 Seats,"40,000 Kms",AP10,Second Owner,1199 cc,Manual,2013,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Others,In-Line Diesel Engine,1199,73.9bhp@4200rpm,180Nm@2000rpm,3.0,4.0,,CRDI,,,No,No,3970mm,1682mm,1453mm,2456mm,,,1125kg,,5 Speed,FWD,5,Power,4.97 metres,Disc,Drum,"Tubeless,Radial",15,5,,164.1km/hr,14.4 Seconds,,hyderabad
14,0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Maruti,Maruti Wagon R,2009,4339,LXI Minor,₹ 2.90 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",14,2009,Third Party insurance,Petrol,5 Seats,"40,000 Kms",AP10,First Owner,1061 cc,Manual,2009,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",Others,FC Petrol Engine,1061,67bhp@6200rpm,84Nm@3500rpm,3.0,4.0,,MPFI,,,No,No,3595mm,1475mm,1700mm,2400mm,1295mm,1290mm,870kg,1350kg,5 Speed,FWD,5,Power,4.6metres,Ventilated Disc,Drum,"Tubeless, Radial",13,4,,,,,hyderabad
15,0,Diesel,SUV,"60,000",Automatic,1,1st Owner,BMW,BMW X1,2020,338,sDrive 20d xLine,₹ 38 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",15,2020,Third Party insurance,Diesel,5 Seats,"60,000 Kms",TS08,First Owner,1995 cc,Automatic,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Others,Diesel Engine,1995,188bhp@4000rpm,400Nm@1750-2500rpm,4.0,4.0,DOHC,CRDi,84 X 90 mm,16.5:1,Yes,No,4439mm,1821mm,1612mm,2670mm,1561mm,1562mm,1550,,8 Speed,FWD,5,Power,5.8 metres,Disc,Disc,Runflat,17,5,505-litres,222 Kmph,7.8 Seconds,,hyderabad
16,0,Petrol,Hatchback,"64,500",Manual,1,1st Owner,Maruti,Maruti Wagon R,2014,6740,VXI,₹ 3.75 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",16,Jan 2015,Comprehensive,Petrol,5 Seats,"64,500 Kms",TS15,First Owner,998 cc,Manual,2014,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Brown,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,73  x 79.5 mm,,No,No,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,,18.6 Seconds,,hyderabad
17,0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Maruti,Maruti Wagon R,2020,6771,VXI Opt,₹ 6 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",17,Sept 2020,Third Party insurance,Petrol,5 Seats,"40,000 Kms",TS08,First Owner,998 cc,Manual,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",White,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,69 x 72 mm,,No,No,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,341 Litres,,18.6 Seconds,,hyderabad
18,0,Diesel,SUV,"80,000",Manual,1,1st Owner,Jeep,Jeep Compass,2018,5929,2.0 Limited,₹ 14 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",18,2018,Third Party insurance,Diesel,5 Seats,"80,000 Kms",TS07,First Owner,1956 cc,Manual,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Others,2.0-Litre 4-Cyl Multijet II Engine,1956,170bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1562 kgs,,6 Speed,4X2,5,Power,,Disc,Discs,"Radial, Tubless",17,5,408-litres,,,,hyderabad
19,0,Diesel,SUV,"50,000",Manual,1,1st Owner,Jeep,Jeep Compass,2019,6602,2.0 Limited Plus 4X4 BSIV,₹ 19 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",19,2019,Third Party insurance,Diesel,5 Seats,"50,000 Kms",TS07,First Owner,1956 cc,Manual,2019,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Others,2.0-Litre 4-Cyl Multijet II Engine,1956,170.63bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1641 kgs,,6 Speed,4X4,5,power,,Disc,Discs,"Radial, Tubless",18,5,408-litres,,10.03 Seconds,,hyderabad
20,0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2020,8155,Sportz Turbo iMT,₹ 7.40 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",20,2020,Third Party insurance,Petrol,5 Seats,"40,000 Kms",TS07,First Owner,998 cc,Manual,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Others,1.0 l Turbo GDi petrol,998,118.36bhp@6000rpm,171.62nm@1500-4000rpm,3.0,4.0,,,,,Yes,,3995mm,1775mm,1505mm,2580mm,,,1220,,6 Speed IMT,,5,Electric,,Disc,Drum,"Tubeless,Radial",,5,311,,,,hyderabad
21,0,Petrol,Sedan,"39,886",Automatic,2,2nd Owner,Hyundai,Hyundai Aura,2020,7331,SX Plus AMT,₹ 7.66 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",21,Mar 2020,Third Party,Petrol,5 Seats,"39,886 Kms",TS22,Second Owner,1197 cc,Automatic,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",White,1.2 l Kappa dual petrol,1197,81.86bhp@6000rpm,113.8nm@4000rpm,4.0,4.0,,,,,No,,3995mm,1680,1520,2450,,,1110,,5-Speed,,5,Electric,,Disc,Drum,"Tubeless,Radial",15,4,,,,,hyderabad
22,0,Diesel,SUV,"1,07,588",Manual,1,1st Owner,Renault,Renault Duster,2014,5066,85PS Diesel RxL,₹ 4.40 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",22,Apr 2015,Third Party insurance,Diesel,5 Seats,"1,07,588 Kms",TS08,First Owner,1461 cc,Manual,2014,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",White,dCi Diesel Engine ,1461,83.8bhp@3750rpm,200Nm@1900rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4315mm,1822mm,1695mm,2673mm,1560mm,1567mm,1240,1758kg,5 speed,FWD,5,Power,5.2 metres,Ventilated Disc,Drum,"Tubeless,Radial",16,5,475-litres,,,,hyderabad
23,0,Petrol,Hatchback,"36,621",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2017,5604,1.2 Kappa Sportz BSIV,₹ 5.19 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",23,Apr 2018,Third Party insurance,Petrol,5 Seats,"36,621 Kms",TS13,First Owner,1197 cc,Manual,2017,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Red,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,,,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1120,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,Tubeless,,5,256,165 Kmph,12.9 Seconds,,hyderabad
24,0,Diesel,SUV,"80,000",Manual,1,1st Owner,MG,MG Hector Plus,2020,7907,Sharp Diesel MT,₹ 16 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",24,2020,Third Party insurance,Diesel,6 Seats,"80,000 Kms",AP39,First Owner,1956 cc,Manual,2020,"Power Windows Front, Power Windows Rear, Electronic Multi Tripmeter, Leather Seats, Fog Lights Front, Fog Lights Rear, Anti Lock Braking System, Brake Assist, Radio",Others,2.0L Turbocharged Diesel,1956,167.67bhp@3750rpm,350nm@1750-2500rpm,4.0,4.0,,,,,YES,,4720mm,1835mm,1760mm,2750mm,,,1860,,6-speed,,6,,,Disc,Disc,"Tubeless, Radial",18,5,155 L,,,192mm,hyderabad
25,0,Petrol,Hatchback,"18,900",Manual,1,1st Owner,Maruti,Maruti S-Presso,2022,9220,VXi Plus BSVI,₹ 5.25 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",25,Mar 2022,Third Party insurance,Petrol,5 Seats,"18,900 Kms",TS07,First Owner,998 cc,Manual,2022,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Grey,K10C,998,65.71bhp@5500rpm,89Nm@3500rpm,3.0,4.0,,,,,,,3565mm,1520,1567,2380,1316,1318,736-775,1170,5 Speed,FWD,5,Power,4.5,Ventilated Disc,Drum,"Tubeless, Radial",,5,,,,,hyderabad
26,0,Diesel,SUV,"70,754",Manual,1,1st Owner,Kia,Kia Seltos,2019,7115,HTK Plus D,₹ 11.08 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",26,Nov 2019,Zero Dep,Diesel,5 Seats,"70,754 Kms",TS11,First Owner,1493 cc,Manual,2019,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",White,1.5 L CRDi VGT,1493,113.43bhp@4000rpm,250nm@1500-2750rpm,4.0,4.0,,CRDi,,,Yes,,4315mm,1800mm,1645mm,2610mm,,,1475,,6-Speed,FWD,5,Electric,,Disc,Disc,"Tubeless, Radial",16,5,433,,,,hyderabad
27,0,Petrol,Hatchback,"59,832",Manual,1,1st Owner,Maruti,Maruti S-Presso,2020,7172,VXI 2019-2022,₹ 4.20 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",27,Dec 2020,Third Party insurance,Petrol,5 Seats,"59,832 Kms",TS28,First Owner,998 cc,Manual,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Grey,K10C,998,65.71bhp@5500rpm,89Nm@3500rpm,3.0,4.0,,,,,,,3565,1520,1567,2380,1316,1318,736-775,1170,5 Speed,FWD,5,Power,4.5,Ventilated Disc,Drum,"Tubeless, Radial",,5,,,,,hyderabad
28,0,Petrol,Sedan,"60,068",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,2017,7077,VXI 1.2,₹ 6.05 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",28,Sept 2017,Third Party,Petrol,5 Seats,"60,068 Kms",TS08,Second Owner,1197 cc,Manual,2017,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Red,K Series VVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,DOHC,MPFI,,,No,No,3995mm,1735mm,1515mm,2450mm,1530mm,1520mm,860-895Kg,1315Kg,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,"Tubeless,Radial",,4,378,,12.6 Seconds,,hyderabad
29,0,Petrol,Hatchback,"41,261",Manual,1,1st Owner,Maruti,Maruti Alto 800,2018,7073,LXI,₹ 3.26 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",29,Nov 2018,Comprehensive,Petrol,5 Seats,"41,261 Kms",TS30,First Owner,796 cc,Manual,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Child Safety Locks",Silver,F8D Petrol Engine,796,47.33bhp@6000rpm,69Nm@3500rpm,3.0,4.0,,,,,,,3445,1515,1475,2360,1295,1290,755,1185,5 Speed,,5,,4.6,Disc,Drum,Tubeless Tyres,,5,,,,,hyderabad
