,city,fuel_type,body_type,km_driven,transmission,ownerno,model,modelyear,color,price
110,bangalore,Diesel,Sedan,70000,Automatic,2,BMW 3 Series,2010,Others,1300000
111,bangalore,Petrol,Sedan,61993,Manual,1,Honda City,2015,Silver,672000
112,bangalore,Petrol,Hatchback,36359,Manual,1,Hyundai i20,2013,Blue,440000
113,bangalore,Diesel,SUV,70000,Manual,2,Tata Harrier,2019,Others,1460000
114,bangalore,Petrol,Sedan,30301,Automatic,1,Hyundai Verna,2017,Black,1033000
115,bangalore,Petrol,Hatchback,66000,Manual,1,Hyundai i10,2010,Golden,275000
116,bangalore,Petrol,Hatchback,56010,Manual,1,Hyundai i20,2017,White,676000
117,bangalore,Diesel,SUV,60000,Manual,2,Nissan Terrano,2014,Others,650000
118,bangalore,Diesel,Hatchback,83829,Manual,1,Maruti Swift,2014,Red,444000
119,bangalore,Petrol,Hatchback,10000,Automatic,1,Renault KWID,2020,Others,509999
120,bangalore,Diesel,SUV,35000,Automatic,2,Renault Duster,2016,Grey,925000
121,bangalore,Petrol,Sedan,51116,Automatic,2,Honda City,2019,White,1024000
122,bangalore,Diesel,Sedan,80000,Manual,3,Skoda Rapid,2016,Others,500000
123,bangalore,Petrol,Hatchback,40000,Automatic,2,Volkswagen Polo,2017,Others,994999
124,bangalore,Petrol,SUV,85565,Automatic,2,Honda CR-V,2012,White,935000
125,bangalore,Petrol,SUV,36916,Manual,1,Ford Ecosport,2018,Others,834000
126,bangalore,Diesel,Hatchback,90000,Manual,1,Volkswagen Polo,2015,Others,560000
127,bangalore,Petrol,Hatchback,112795,Manual,1,Maruti Swift,2012,Silver,454000
128,bangalore,Petrol,MUV,120000,Manual,2,Toyota Innova,2014,Others,1100000
129,bangalore,Petrol,Hatchback,36685,Manual,2,Honda Brio,2016,Red,462000
130,bangalore,Diesel,SUV,120000,Automatic,2,Hyundai Santa Fe,2012,Others,900000
131,bangalore,Petrol,Hatchback,32184,Automatic,2,Maruti Baleno,2019,Silver,843000
132,bangalore,Petrol,Hatchback,32279,Manual,1,Maruti Baleno RS,2018,White,799000
133,bangalore,Petrol,Hatchback,59698,Manual,1,Hyundai i20,2015,White,576000
134,bangalore,Diesel,SUV,46071,Manual,1,Renault Captur,2018,Grey,949000
135,bangalore,Diesel,SUV,90000,Manual,1,Maruti Vitara Brezza,2017,Yellow,795000
136,bangalore,Petrol,SUV,9554,Manual,1,Hyundai Venue,2019,Blue,1085000
137,bangalore,Diesel,SUV,74499,Manual,2,Renault Duster,2013,Brown,516000
138,bangalore,Petrol,SUV,56211,Automatic,2,Ford Ecosport,2017,Grey,777000
139,bangalore,Petrol,Hatchback,9001,Manual,1,Honda Jazz,2019,White,753000
140,bangalore,Diesel,SUV,65457,Automatic,2,Mahindra XUV500,2017,Orange,1226000
141,bangalore,Petrol,Hatchback,23682,Manual,1,Honda Jazz,2017,Red,725000
142,bangalore,Diesel,Sedan,50000,Manual,1,Hyundai Verna,2020,Red,1150000
143,bangalore,Diesel,Hatchback,134557,Manual,2,Maruti Swift,2015,White,629000
144,bangalore,Petrol,Sedan,96567,Manual,2,Maruti Swift Dzire,2013,Blue,447000
145,bangalore,Petrol,Hatchback,120000,Manual,3,Maruti Celerio,2015,White,400000
146,bangalore,Diesel,MUV,83007,Manual,2,Maruti Ertiga,2014,White,786000
147,bangalore,Petrol,Hatchback,34000,Manual,1,Honda Jazz,2018,Maroon,745000
148,bangalore,Petrol,Hatchback,81634,Automatic,1,Hyundai Grand i10,2014,White,490000
149,bangalore,Petrol,Sedan,57284,Automatic,2,Honda City,2017,Brown,942000
150,bangalore,Petrol,SUV,70000,Automatic,2,Ford Ecosport,2016,Silver,675000
151,bangalore,Petrol,Hatchback,70000,Manual,2,Honda Brio,2013,Red,330000
152,bangalore,Petrol,Sedan,46429,Automatic,2,Toyota Yaris,2018,White,875000
153,bangalore,Petrol,Hatchback,17624,Manual,1,Maruti Baleno,2017,White,869000
154,bangalore,Diesel,Sedan,100000,Manual,2,Volkswagen Vento,2012,Blue,425000
155,bangalore,Petrol,Sedan,30000,Manual,1,Honda City,2019,Others,1070000
156,bangalore,Petrol,SUV,49690,Manual,2,Ford Ecosport,2018,Blue,1025000
157,bangalore,Diesel,SUV,110000,Manual,1,Mahindra XUV500,2016,White,1000000
158,bangalore,Petrol,Sedan,50000,Manual,1,Fiat Linea,2009,Gray,375000
159,bangalore,Petrol,Sedan,50000,Manual,1,Fiat Linea,2009,Gray,375000
160,bangalore,Petrol,SUV,55702,Automatic,1,Ford Ecosport,2018,Silver,844000
161,bangalore,Diesel,Hatchback,45046,Manual,1,Hyundai i20 Active,2016,Brown,764000
162,bangalore,Petrol,Hatchback,53000,Manual,2,Maruti Ritz,2014,Silver,420000
163,bangalore,Diesel,Hatchback,94695,Manual,1,Maruti Baleno,2016,Red,684000
164,bangalore,Petrol,Hatchback,22162,Manual,1,Maruti Baleno,2019,Silver,802999
165,bangalore,Petrol,Hatchback,70000,Manual,2,Hyundai Santro Xing,2010,Others,320000
166,bangalore,Diesel,Sedan,115331,Manual,1,Honda City,2017,Silver,803999
167,bangalore,Diesel,Sedan,70000,Automatic,2,Mercedes-Benz E-Class,2013,Others,1400000
168,bangalore,Petrol,Hatchback,42233,Manual,2,Maruti Swift,2016,White,548000
169,bangalore,Petrol,Hatchback,20941,Manual,1,Hyundai Grand i10,2019,Others,619000
170,bangalore,Diesel,SUV,50000,Manual,2,Maruti Vitara Brezza,2018,Red,1000000
171,bangalore,Petrol,SUV,46602,Manual,1,Honda WR-V,2018,Brown,865000
172,bangalore,Diesel,SUV,50000,Automatic,2,Mahindra Ssangyong Rexton,2014,White,1000000
173,bangalore,Diesel,Hatchback,104000,Manual,2,Maruti Swift,2014,Red,535000
174,bangalore,Diesel,SUV,90000,Manual,1,Ford Ecosport,2018,Brown,975000
175,bangalore,Petrol,Hatchback,50035,Manual,1,Maruti Baleno,2017,Blue,699000
176,bangalore,Petrol,SUV,80000,Manual,1,Tata Nexon,2021,Gray,1150000
177,bangalore,Petrol,Hatchback,90000,Manual,2,Hyundai i20,2015,Maroon,625000
178,bangalore,Diesel,Sedan,120000,Manual,1,Toyota Corolla Altis,2011,Silver,600000
179,bangalore,Petrol,Sedan,25170,Manual,1,Maruti Swift Dzire,2015,Blue,675000
180,bangalore,Petrol,Sedan,25022,Manual,1,Maruti Ciaz,2021,Others,893000
181,bangalore,Diesel,Hatchback,100000,Manual,2,Maruti Swift,2012,Others,420000
182,bangalore,Petrol,Sedan,26367,Manual,1,Maruti Ciaz,2020,Others,941000
183,bangalore,Petrol,Sedan,76567,Automatic,2,Hyundai Elantra,2015,Silver,630000
184,bangalore,Diesel,MUV,120000,Manual,2,Toyota Innova,2013,Others,1275000
185,bangalore,Petrol,Hatchback,36459,Automatic,2,Hyundai Grand i10,2015,Red,525000
186,bangalore,Diesel,SUV,93725,Manual,1,Maruti SX4 S Cross,2016,Grey,750000
187,bangalore,Petrol,Sedan,115599,Automatic,2,Maruti Ciaz,2016,Silver,632000
188,bangalore,Petrol,Sedan,43469,Manual,1,Maruti Swift Dzire,2015,Red,645000
189,bangalore,Diesel,SUV,100000,Manual,1,Maruti Vitara Brezza,2018,Red,850000
190,bangalore,Petrol,Sedan,72000,Manual,1,Mitsubishi Cedia,2008,Silver,299000
191,bangalore,Petrol,Hatchback,40771,Manual,2,Volkswagen Polo,2021,Silver,999000
192,bangalore,Petrol,Hatchback,28000,Manual,1,Honda Jazz,2018,Silver,825000
193,bangalore,Petrol,Hatchback,40000,Manual,3,Maruti Wagon R,2008,Silver,250000
194,bangalore,Petrol,SUV,26000,Automatic,1,Hyundai Venue,2020,White,1295000
195,bangalore,Petrol,Hatchback,76032,Manual,1,Maruti Wagon R,2012,Silver,329000
196,bangalore,Petrol,Sedan,113780,Manual,1,Maruti Ciaz,2018,Blue,666000
197,bangalore,Diesel,SUV,65812,Manual,2,Hyundai Venue,2020,White,1026000
198,bangalore,Petrol,SUV,10000,Automatic,1,Skoda Kushaq,2022,Red,1700000
199,bangalore,Petrol,Hatchback,39959,Manual,1,Maruti Baleno,2016,Orange,681000
200,bangalore,Petrol,SUV,10000,Automatic,1,Hyundai Alcazar,2022,Others,1689999
201,bangalore,Petrol,Hatchback,65484,Manual,3,Maruti Alto K10,2016,Others,318000
202,bangalore,Petrol,Hatchback,49174,Manual,1,Maruti Baleno,2017,Red,688000
203,bangalore,Petrol,SUV,20000,Manual,1,Volkswagen Taigun,2022,Red,1300000
204,bangalore,Petrol,Hatchback,50000,Manual,1,Hyundai i10,2009,Others,265000
205,bangalore,Petrol,Sedan,40000,Automatic,2,Maruti Swift Dzire,2018,Others,645000
206,bangalore,Petrol,Coupe,50000,Automatic,3,BMW 3 Series,2007,Others,900000
207,bangalore,Petrol,Hatchback,80000,Manual,1,Maruti Swift,2020,Others,620000
208,bangalore,Petrol,SUV,20000,Manual,1,MG Astor,2022,Others,1470000
209,bangalore,Cng,Sedan,70000,Manual,1,Hyundai Accent,2010,Others,220000
210,bangalore,Diesel,Sedan,90000,Automatic,1,Audi A4,2014,Others,1475000
211,bangalore,Petrol,Hatchback,40000,Manual,1,Renault KWID,2020,Blue,415000
212,bangalore,Petrol,Hatchback,63797,Manual,1,Honda Jazz,2016,Brown,610000
213,bangalore,Petrol,Hatchback,60216,Manual,2,Hyundai Grand i10,2018,Red,560000
214,bangalore,Petrol,Hatchback,10000,Automatic,2,Maruti Alto K10,2015,Others,425000
215,bangalore,Petrol,Hatchback,38153,Manual,1,Maruti Baleno,2016,Silver,686000
216,bangalore,Petrol,Hatchback,76485,Manual,1,Maruti Swift,2015,Silver,517000
217,bangalore,Petrol,Hatchback,40000,Manual,2,Maruti Wagon R,2015,Others,385000
218,bangalore,Petrol,Hatchback,40623,Manual,1,Maruti Baleno,2016,Blue,675000
219,bangalore,Petrol,Hatchback,88051,Manual,1,Maruti Swift,2014,Red,499000
220,bangalore,Petrol,Hatchback,16522,Manual,1,Maruti Swift,2022,Others,774000
221,bangalore,Diesel,SUV,70000,Manual,2,Jeep Compass,2019,Others,1475000
222,bangalore,Petrol,Hatchback,80000,Manual,3,Maruti Wagon R,2008,Others,240000
223,bangalore,Diesel,SUV,50000,Manual,1,Hyundai Venue,2019,Others,1025000
224,bangalore,Petrol,SUV,10000,Manual,1,Tata Nexon,2023,Others,1400000
225,bangalore,Petrol,Hatchback,57000,Manual,2,Hyundai EON,2013,Silver,285000
226,bangalore,Diesel,SUV,110000,Manual,1,Mahindra XUV500,2016,Others,1000000
227,bangalore,Petrol,Hatchback,10000,Manual,1,Maruti Baleno,2019,Red,780000
228,bangalore,Petrol,Hatchback,50000,Manual,2,Maruti Swift,2012,Others,475000
229,bangalore,Diesel,SUV,120000,Manual,1,Mahindra XUV300,2019,Red,750000
230,bangalore,Petrol,Hatchback,35469,Manual,1,Hyundai Grand i10,2014,Grey,555000
231,bangalore,Petrol,Hatchback,40073,Manual,2,Honda Jazz,2017,Others,607000
232,bangalore,Petrol,Hatchback,65730,Manual,2,Hyundai Grand i10,2017,Red,513999
233,bangalore,Petrol,Hatchback,36184,Manual,2,Maruti Baleno,2016,Silver,705000
234,bangalore,Petrol,Hatchback,69310,Manual,1,Maruti Baleno,2016,White,653000
235,bangalore,Petrol,Sedan,55643,Automatic,1,Honda City,2015,White,872000
236,bangalore,Petrol,Hatchback,62803,Automatic,2,Hyundai Grand i10,2017,Red,564000
237,bangalore,Diesel,Hatchback,90000,Manual,2,Volkswagen Polo,2011,Others,370000
238,bangalore,Petrol,Hatchback,68656,Manual,1,Maruti Swift,2015,Silver,550000
239,bangalore,Petrol,Hatchback,77501,Manual,3,Honda Jazz,2016,Brown,517000
240,bangalore,Petrol,Sedan,40000,Manual,1,Maruti Swift Dzire,2016,Others,620000
241,bangalore,Petrol,Sedan,40000,Manual,1,Maruti Swift Dzire,2016,Others,620000
242,bangalore,Petrol,Sedan,48325,Automatic,1,Honda City,2014,White,750000
243,bangalore,Petrol,SUV,30000,Manual,1,Tata Nexon,2022,Others,1220000
244,bangalore,Diesel,Hatchback,100000,Automatic,2,Mercedes-Benz B Class,2013,White,1350000
245,bangalore,Petrol,Hatchback,69000,Manual,1,Maruti Swift,2015,White,575000
246,bangalore,Diesel,SUV,110000,Manual,1,Jeep Compass,2018,Others,1250000
247,bangalore,Petrol,Sedan,50000,Manual,2,Hyundai Verna,2016,Others,868000
248,bangalore,Petrol,Hatchback,20000,Manual,1,Hyundai i20,2021,Others,980000
249,bangalore,Petrol,Hatchback,14999,Automatic,1,Maruti Swift,2022,White,900000
250,bangalore,Petrol,Hatchback,90773,Manual,2,Honda Jazz,2016,White,550000
251,bangalore,Diesel,Sedan,90000,Manual,1,Skoda Rapid,2012,Gray,450000
252,bangalore,Petrol,Hatchback,64917,Manual,2,Maruti Swift,2017,White,610000
253,bangalore,Petrol,Hatchback,70235,Manual,1,Honda Jazz,2017,Brown,543000
254,bangalore,Petrol,Hatchback,30000,Manual,1,Hyundai i20,2021,Others,980000
255,bangalore,Petrol,Hatchback,78782,Manual,1,Honda Jazz,2016,Brown,535000
256,bangalore,Petrol,Sedan,72136,Manual,2,Maruti Ciaz,2016,Silver,661000
257,bangalore,Petrol,Hatchback,52486,Manual,2,Maruti Swift,2015,Others,505000
258,bangalore,Diesel,Sedan,150000,Automatic,1,Skoda Laura,2007,Black,450000
259,bangalore,Petrol,SUV,36887,Manual,1,Honda WR-V,2017,Silver,865000
260,bangalore,Petrol,SUV,47962,Manual,1,Hyundai Venue,2019,Blue,999000
261,bangalore,Diesel,SUV,135000,Manual,1,Nissan Terrano,2014,Silver,595000
262,bangalore,Petrol,Sedan,50000,Manual,2,Fiat Linea,2012,Gray,400000
263,bangalore,Diesel,Sedan,100000,Manual,1,Maruti Swift Dzire,2012,White,550000
264,bangalore,Diesel,SUV,110000,Automatic,2,BMW X3,2011,Black,1600000
265,bangalore,Petrol,Hatchback,90000,Automatic,3,Volkswagen Polo,2013,Others,520000
266,bangalore,Petrol,Hatchback,116624,Manual,1,Maruti Baleno,2016,Blue,616000
267,bangalore,Petrol,Sedan,54561,Manual,2,Maruti Ciaz,2019,Silver,795000
268,bangalore,Diesel,MUV,120000,Manual,2,Toyota Innova,2013,Others,1275000
269,bangalore,Petrol,Hatchback,65072,Manual,1,Honda Jazz,2016,Red,624000
270,bangalore,Petrol,Hatchback,133532,Manual,1,Hyundai Grand i10,2017,Others,549000
271,bangalore,Diesel,MUV,120000,Manual,3,Toyota Innova,2010,Others,760000
272,bangalore,Petrol,Sedan,39886,Manual,1,Maruti Swift Dzire,2013,Orange,524000
273,bangalore,Diesel,SUV,80000,Manual,1,Mahindra XUV500,2019,White,1650000
274,bangalore,Diesel,Hatchback,56976,Manual,2,Maruti Swift,2015,Others,583000
275,bangalore,Petrol,Sedan,68303,Manual,2,Volkswagen Vento,2020,White,1147000
276,bangalore,Petrol,Hatchback,80000,Automatic,2,Mini Cooper,2013,Red,1750000
277,bangalore,Diesel,Sedan,54000,Automatic,1,Skoda Rapid,2016,Grey,825000
278,bangalore,Petrol,Hatchback,72348,Manual,1,Volkswagen Polo,2018,Grey,755000
279,bangalore,Petrol,SUV,70000,Manual,1,Hyundai Creta,2015,Silver,875000
280,bangalore,Petrol,Hatchback,62696,Manual,1,Volkswagen Polo,2021,White,855000
281,bangalore,Petrol,Hatchback,65000,Manual,1,Hyundai Grand i10,2016,Orange,525000
282,bangalore,Petrol,Hatchback,36000,Automatic,1,Hyundai Grand i10,2017,Silver,650000
283,bangalore,Petrol,Sedan,71905,Automatic,1,Honda City,2018,Brown,846000
284,bangalore,Petrol,Hatchback,69748,Manual,2,Maruti Swift,2013,Red,424000
285,bangalore,Petrol,Hatchback,44000,Manual,1,Maruti Alto,2008,Maroon,210000
286,bangalore,Petrol,Sedan,17875,Manual,2,Toyota Yaris,2021,Red,959000
287,bangalore,Petrol,SUV,95678,Manual,1,Renault Duster,2020,White,889000
288,bangalore,Petrol,SUV,12003,Automatic,1,Renault Kiger,2022,Silver,850000
289,bangalore,Diesel,SUV,114427,Manual,2,Ford Ecosport,2018,Red,836000
290,bangalore,Petrol,SUV,20000,Automatic,1,Renault Kiger,2022,Others,660000
291,bangalore,Petrol,Hatchback,64655,Manual,1,Honda Brio,2012,White,334000
292,bangalore,Petrol,SUV,46456,Manual,1,Mahindra KUV 100,2018,Red,594000
293,bangalore,Petrol,SUV,20000,Automatic,1,Renault Kiger,2021,Others,991000
294,bangalore,Diesel,SUV,50000,Manual,1,Jeep Compass,2018,Others,1450000
295,bangalore,Diesel,SUV,20000,Manual,1,Hyundai Venue,2022,Others,1285000
296,bangalore,Diesel,MUV,150000,Manual,3,Toyota Innova,2008,Others,455000
297,bangalore,Petrol,Hatchback,10000,Manual,1,Maruti Baleno,2022,Others,825000
298,bangalore,Petrol,Sedan,40000,Manual,1,Honda City,2018,Others,825000
299,bangalore,Diesel,SUV,40000,Manual,1,Ford Ecosport,2020,Blue,919999
300,bangalore,Diesel,SUV,91598,Manual,2,Ford Ecosport,2017,Red,729000
301,bangalore,Petrol,Hatchback,57521,Manual,1,Maruti Celerio,2015,Others,432000
302,bangalore,Diesel,SUV,100000,Manual,1,Renault Duster,2016,Others,700000
303,bangalore,Petrol,Sedan,7598,Manual,1,Hyundai Verna,2021,Others,1499000
304,bangalore,Petrol,SUV,38520,Manual,1,Renault Duster,2017,Brown,762000
305,bangalore,Petrol,SUV,20000,Manual,1,MG Astor,2022,Others,1625000
306,bangalore,Diesel,SUV,110455,Manual,2,Renault Duster,2014,Brown,632000
307,bangalore,Petrol,SUV,26901,Automatic,1,Hyundai Venue,2020,Red,1218000
308,bangalore,Petrol,Hatchback,65376,Automatic,1,Hyundai Grand i10,2017,White,524000
