,it,ft,bt,km,transmission,ownerno,owner,oem,model,modelyear,centralvariantid,variantname,price,priceactual,pricesaving,pricefixedtext,trendingtext,row_index,registration_year,insurance_validity,fuel_type,seats,kms_driven,rto,ownership,engine_displacement,transmission,year_of_manufacture,top_features,color,engine_type,displacement,max_power,max_torque,no_of_cylinder,values_per_cylinder,value_configuration,fuel_suppy_system,borex_stroke,turbo_charger,super_charger,length,width,height,wheel_base,front_tread,rear_tread,kerb_weight,gross_weight,gear_box,drive_type,seating_capacity,steering_type,turning_radius,front_brake_type,rear_brake_type,tyre_type,alloy_wheel_size,no_door_numbers,ground_clearance_unladen,cargo_volumn,compression_ratio,acceleration,top_speed,city
235,0,Petrol,SUV,"19,600",Automatic,3,3rd Owner,Porsche,Porsche Macan,2016,4503,2L,₹ 42 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",235,Dec 2016,Third Party insurance,Petrol,5 Seats,"19,600 Kms",WB74,Third Owner,1984 cc,Automatic,2016,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Blue, V4 Twin Turbo Engine,1984,252bhp@5000-6800rpm,370Nm@1600-4500rpm,6.0,4.0,undefined,Direct Fuel Injection,,No,No,4697 mm,1923 mm,1624 mm,2807mm,,,1770 Kg,2445 Kg,7-Speed,AWD,5,Power,5.9 meters,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",18,5,,500-litres,,6.7 Seconds,229 Kmph,kolkata
236,0,Diesel,MUV,"1,20,000",Manual,1,1st Owner,Chevrolet,Chevrolet Tavera,2011,688,LS B4 - 7(C) seats BSIII,₹ 3.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",236,2011,Third Party insurance,Diesel,7 Seats,"1,20,000 Kms",WB26,First Owner,2499 cc,Manual,2011,"Power Steering, Power Windows Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Wheel Covers, Child Safety Locks, Day Night Rear View Mirror",White,In-Line Engine,2499,"80 @ 3,900 (PS@rpm)","19 @ 1,800 (kgm@rpm)",4.0,,,,,,,"4,435 mm","1,680 mm","1,765 mm","2,685 mm","1,445 mm","1,420 mm","1,585 kg","2,335 kg",5 Speed,,7,Manual,5.62 m,Ventilated Disc,Drum,"Tubeless,Radial",15,5,,,,22.3 seconds,138 kmph,kolkata
237,0,Diesel,SUV,"68,000",Automatic,1,1st Owner,BMW,BMW X3,2012,353,xDrive20d,₹ 11.99 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",237,Mar 2012,Comprehensive,Diesel,5 Seats,"68,000 Kms",WB06,First Owner,1995 cc,Automatic,2012,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Black,xDrive20d Diesel Engine ,1995,184bhp@4000rpm,380Nm@1750-2750rpm,4.0,4.0,,CRDi,84 X 90 mm,Yes,No,4648mm,2098mm,1661mm,2810mm,1616mm,1632mm,1620,,8 Speed,4WD,5,Power,,Ventilated Discs,Ventilated Discs,"Tubeless,Radial",17,5,,,16.5:1,8.5 Seconds,210km/hr,kolkata
238,0,Diesel,Sedan,"70,000",Manual,2,2nd Owner,Tata,Tata Manza,2014,2768,Club Class Quadrajet90 LX,₹ 2.20 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",238,2014,Third Party insurance,Diesel,5 Seats,"70,000 Kms",WB02,Second Owner,1248 cc,Manual,2014,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Rear, Centeral Locking, Power Door Locks, Cd Player",Others,Quadrajet Diesel Engine,1248,88.76bhp@4000rpm,200Nm@1750-3000rpm,4.0,4.0,,CRDi,,Yes,No,4413mm,1703mm,1550mm,2520mm,,,1200-1210kg,1650-1660kg,5 Speed,FWD,5,Power,5.1 metres,Ventilated Disc,Drum,"Tubeless,Radial",,4,,460-litres,,15.2 Seconds,163 Kmph,kolkata
239,0,Diesel,Hatchback,"50,000",Manual,4,4th Owner,Hyundai,Hyundai Grand i10,2016,1528,CRDi Sportz,₹ 3.30 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",239,2016,Third Party insurance,Diesel,5 Seats,"50,000 Kms",WB42,Fourth Owner,1120 cc,Manual,2016,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",Others,U2 CRDi  Diesel Engine,1120,70bhp@4000rpm,160Nm@1500-2750rpm,3.0,4.0,DOHC,CRDi,,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1025kg,,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,Tubeless,,5,,256-liters,,15.6 Seconds,157 Kmph,kolkata
240,0,Petrol,Sedan,"70,179",Manual,1,1st Owner,Tata,Tata Tigor,2021,7371,XM BSVI,₹ 5.18 Lakh,₹ 5.32 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",240,Aug 2021,Third Party,Petrol,5 Seats,"70,179 Kms",WB42,First Owner,1199 cc,Manual,2021,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",White,1.2L Revotron Engine,1199,84.82bhp@6000rpm,113Nm@3300rpm,3.0,4.0,,,,,,3993mm,1677,1532,2450,,,1030,,5-Speed,,5,Electric,,Disc,Drum,"Tubeless,Radial",,4,170,419,,,,kolkata
241,0,Petrol,Hatchback,"54,501",Manual,1,1st Owner,Maruti,Maruti A-Star,2010,3893,Lxi,₹ 1.41 Lakh,₹ 1.42 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",241,Apr 2010,Comprehensive,Petrol,5 Seats,"54,501 Kms",WB24,First Owner,998 cc,Manual,2010,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Child Safety Locks, Passenger Side Rear View Mirror",Green,K Series Petrol Engine,998,66.1bhp@6200rpm,90Nm@3500rpm,3.0,4.0,,MPFI,73.0 X 79.5 mm,No,No,3500mm,1600mm,1490mm,2360mm,1405mm,1400mm,860-895kg,1320kg,5 Speed,FWD,5,Power,4.5metres,Ventilated Disc,Drum,"Tubeless,Radial",13,5,,,10:1,,,kolkata
242,0,Diesel,SUV,"20,000",Manual,1,1st Owner,Renault,Renault Captur,2018,6100,1.5 Diesel RXL,₹ 8 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",242,2018,Third Party insurance,Diesel,5 Seats,"20,000 Kms",null,First Owner,1461 cc,Manual,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",Others,K9K dCi Diesel Engine,1461,108.45bhp@3850rpm,240Nm@1750rpm,4.0,4.0,DOHC,CRDi,,Yes,No,4329mm,1813mm,1626 mm,2673mm,,,1240,,6 Speed,,5,Power,5.2meters,Disc,Drum,"Radial,Tubeless",R16,5,210mm,392 Litres,,13.24 Sec,,kolkata
243,0,Petrol,Hatchback,"28,651",Manual,1,1st Owner,Maruti,Maruti Alto 800,2016,7073,LXI,₹ 2.27 Lakh,₹ 2.39 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",243,Apr 2016,Third Party,Petrol,5 Seats,"28,651 Kms",WB24,First Owner,796 cc,Manual,2016,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Child Safety Locks",Others,F8D Petrol Engine,796,47.33bhp@6000rpm,69Nm@3500rpm,3.0,4.0,,,,,,3445,1515,1475,2360,1295,1290,755,1185,5 Speed,,5,,4.6,Disc,Drum,Tubeless Tyres,,5,,,,,,kolkata
244,0,Petrol,Sedan,"64,787",Manual,2,2nd Owner,Honda,Honda City,2014,1279,i VTEC V,₹ 3.72 Lakh,₹ 4.14 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",244,Jul 2014,Third Party,Petrol,5 Seats,"64,787 Kms",WB02,Second Owner,1497 cc,Manual,2014,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",White,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,No,No,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1049kg,,5 Speed ,FWD,5,Power,5.3 metres,Disc,Drum,"Tubeless,Radial",15,4,,510-litres,10.3:1,10 Seconds,195 Kmph,kolkata
245,0,Diesel,SUV,"1,38,726",Manual,1,1st Owner,Toyota,Toyota Fortuner,2014,2251,4x2 Manual,₹ 13 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",245,Nov 2014,Comprehensive,Diesel,7 Seats,"1,38,726 Kms",WB40,First Owner,2982 cc,Manual,2014,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Grey,D-4D Diesel Engine,2982,168.5bhp@3600rpm,343Nm@1400-3400rpm,4.0,4.0,DOHC,CRDi,,Yes,No,4705mm,1840mm,1850mm,2750mm,1540mm,1540mm,1880kg,2505kg,5 Speed,FWD,7,Power,5.6 metres,Ventilated Disc,Drum,"Tubeless,Radial",17,5,,296-litres,,9.6 Seconds,176 Kmph,kolkata
246,0,Petrol,Hatchback,"24,147",Manual,1,1st Owner,Maruti,Maruti Wagon R,2019,6740,VXI,₹ 4.37 Lakh,₹ 4.90 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",246,Feb 2020,Comprehensive,Petrol,5 Seats,"24,147 Kms",WB06,First Owner,998 cc,Manual,2019,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Silver,K10B Petrol Engine,998,67.05bhp@5500rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFI,73  x 79.5 mm,No,No,3655 mm,1620 mm,1675 mm,2435 mm,,,805-825kg,1340kg,5 Speed,FWD,5,Power,4.7 metres,Disc,Drum,"Tubeless Tyres, Radial",,5,,341 Litres,,18.6 Seconds,,kolkata
247,0,Petrol,Sedan,"65,000",Automatic,1,1st Owner,Toyota,Toyota Corolla Altis,2017,2140,VL AT,₹ 9.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",247,Jul 2017,Third Party,Petrol,5 Seats,"65,000 Kms",WB02,First Owner,1798 cc,Automatic,2017,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",White,2ZR-FE Petrol Engine,1798,138.03bhp@6400rpm,173Nm@4000rpm,4.0,4.0,DOHC,EFI,,No,No,4620mm,1776mm,1475mm,2700mm,1517mm,1522mm,1270kg,1665kg,7 Speed,FWD,5,Power,5.4 metres,Ventilated Disc,Solid Disc,"Tubeless,Radial",16,4,,470-litres,,10.1 Seconds,200 Kmph,kolkata
248,0,Petrol,Sedan,"79,513",Manual,1,1st Owner,Honda,Honda City,2015,1280,i VTEC VX,₹ 4.21 Lakh,₹ 4.76 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",248,Dec 2015,Comprehensive,Petrol,5 Seats,"79,513 Kms",WB02,First Owner,1497 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Silver,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,SOHC,PGM-Fi,73.0 X 89.4 mm,No,No,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1065kg,,5 Speed ,FWD,5,Power,5.3 metres,Disc,Drum,"Tubeless,Radial",15,4,,510-litres,10.3:1,10 Seconds,195 Kmph,kolkata
249,0,Petrol,Hatchback,"87,845",Manual,1,1st Owner,Hyundai,Hyundai i20,2010,1644,1.2 Magna,₹ 1.93 Lakh,₹ 2.09 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",249,Mar 2010,Third Party insurance,Petrol,5 Seats,"87,845 Kms",WB06,First Owner,1197 cc,Manual,2010,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Rear, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",Black,In-Line Engine,1197,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm",4.0,4.0,DOHC,MPFI,,No,No,3940 mm,1710 mm,1505 mm,"2,525 mm","1,505 mm","1,503 mm",1020,,5 Speed,,5,Power,5.2 mtrs.,Disk,Drum,"Tubeless,Radial",14,5,,,,,,kolkata
250,0,Petrol,MUV,"20,000",Manual,1,1st Owner,Maruti,Maruti Ertiga,2015,4058,ZXI,₹ 7.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",250,2015,Third Party insurance,Petrol,7 Seats,"20,000 Kms",WB24,First Owner,1373 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Others,K Series Petrol Engine,1373,93.7bhp@6000rpm,130Nm@4000rpm,4.0,4.0,DOHC,MPFI,73 X 82 mm,No,No,4265mm,1695mm,1685mm,2740mm,1480mm,1490mm,1160kg,1760kg,5 Speed ,FWD,7,Power,5.2 metres,Disc,Drum,"Tubeless, Radial",15,5,,135-liters,17.6:1,13 Seconds,164 Kmph,kolkata
251,0,Petrol,Sedan,"55,000",Manual,1,1st Owner,Volkswagen,Volkswagen Jetta,2015,1913,1.4 TSI Comfortline,₹ 5.99 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",251,Apr 2015,Third Party insurance,Petrol,5 Seats,"55,000 Kms",WB02,First Owner,1390 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Silver,Turbocharged Intercooled ,1390,120.33bhp@5000rpm,200Nm@1500-4000rpm,4.0,4.0,,MPFI,76.5 X 75.6 mm,Yes,No,4644mm,1778mm,1453mm,2633mm,,,1403kg,1940kg,6 Speed,FWD,5,Power,5.5 metres,Disc,Disc,"Tubeless,Radial",16,4,,510-litres,10.0:1,9.8 Seconds,202 km/hr,kolkata
252,0,Petrol,Hatchback,"60,000",Manual,2,2nd Owner,Mahindra,Mahindra KUV 100 NXT,2020,7787,G80 K4 Plus 6Str,₹ 4.70 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",252,2020,Third Party insurance,Petrol,6 Seats,"60,000 Kms",WB20,Second Owner,1198 cc,Manual,2020,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking",White,mFALCON G80,1198,82bhp@5500rpm,115Nm@3500-3600rpm,3.0,4.0,,MPFI,,,,3700mm,1735,1655,2385,1490,1490,1135,,5 Speed,FWD,6,Electric,5.05,Disc,Drum,"Tubeless, Radials",,5,,243,,,,kolkata
253,0,Petrol,Hatchback,"47,183",Manual,1,1st Owner,Honda,Honda Brio,2014,1188,S MT,₹ 3.35 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",253,Jul 2014,Third Party insurance,Petrol,5 Seats,"47,183 Kms",WB24,First Owner,1198 cc,Manual,2014,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Radio",Silver,i-VTEC Engine,1198,86.8bhp@6000rpm,109Nm@4500rpm,4.0,4.0,SOHC,PGM - Fi,,No,No,3610mm,1680mm,1500mm,2345mm,1480mm,1465mm,925kg,,5 Speed,FWD,5,Power,4.5 metres,Disc,Drum,"Tubeless,Radial",,5,,175-litres,,14.5 Seconds,164 Kmph,kolkata
254,0,Diesel,MUV,"1,50,000",Manual,1,1st Owner,Toyota,Toyota Innova,2015,2294,2.5 ZX Diesel 7 Seater,₹ 10.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",254,2015,Third Party insurance,Diesel,7 Seats,"1,50,000 Kms",WB16,First Owner,2494 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Others,2KD-FTV Diesel Engine,2494,100.6bhp@3600rpm,200Nm@1200-3600rpm,4.0,4.0,DOHC,CRDi,,Yes,No,4585mm,1765mm,1760mm,2750mm,1510mm,1510mm,1700kg,2300kg,5 Speed,RWD,7,Power,5.4 metres,Ventilated Disc,Drum,"Tubeless,Radial",15,5,,300-litres,,13.3 Seconds,155 Kmph,kolkata
255,0,Diesel,Sedan,"41,510",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz E-Class,2015,4611,E250 CDI Avantgarde,₹ 21.99 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",255,Apr 2015,Comprehensive,Diesel,5 Seats,"41,510 Kms",WB02,Second Owner,2143 cc,Automatic,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Silver,4-in-line,2143,203bhp@4200rpm,500Nm@1600-1800rpm,4.0,4.0,,,,Yes,No,4868mm,1854mm,1471mm,2874mm,1585mm,1604mm,1800kg,,5 Speed,Rear Wheel Drive with ESP,5,Power,5.6 metres,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",17,4,,540-litre,16.2+/-2:1,7.5 Seconds,242km/hr,kolkata
256,0,Diesel,Sedan,"54,600",Manual,1,1st Owner,Hyundai,Hyundai Elantra,2017,5377,1.6 SX,₹ 8.43 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",256,Aug 2017,Comprehensive,Diesel,5 Seats,"54,600 Kms",WB02,First Owner,1582 cc,Manual,2017,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Black,U2 VGT CRDi Diesel Engine,1582,126.2bhp@4000rpm,259.88Nm@1900-2750rpm,4.0,4.0,DOHC,CRDi,81.0 X 87.2mm,Yes,No,4570mm,1800mm,1465mm,2700mm,1555mm,1564mm,1200,,6 Speed,FWD,5,Power,,Disc,Disc,"Tubeless,Radial",16,4,,420,17.3:1,,191 Kmph,kolkata
257,0,Petrol,Hatchback,"20,000",Manual,1,1st Owner,Hyundai,Hyundai Santro Xing,2007,1715,XL,"₹ 50,000 ",,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",257,2007,Third Party insurance,Petrol,5 Seats,"20,000 Kms",,First Owner,1086 cc,Manual,2007,,Others,,1086,,,4.0,4.0,,,,,,,,,,,,,,,,5,Power,,,,"Tubeless,Radial",13,5,,,,,,kolkata
258,0,Petrol,MUV,"4,000",Manual,1,1st Owner,Renault,Renault Triber,2022,10068,RXT,₹ 6.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",258,Sept 2022,Comprehensive,Petrol,7 Seats,"4,000 Kms",WB98,First Owner,999 cc,Manual,2022,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Silver,,999,71.01bhp@6250rpm,96Nm@3500rpm,3.0,4.0,,MPFi,,,,3991mm,1739,1643,,1547,1545,947,,5 Speed,,7,Electric,,Disc,Drum,"Tubeless, Radial",,5,,84,,,,kolkata
259,0,Petrol,Sedan,"70,000",Manual,1,1st Owner,Chevrolet,Chevrolet Sail,2015,548,1.2 LS,₹ 1.80 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",259,2015,Third Party insurance,Petrol,5 Seats,"70,000 Kms",UP81,First Owner,1199 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",White,SMARTECH Petrol Engine,1199,82.4bhp@6000rpm,108.5Nm@5000rpm,4.0,4.0,DOHC,MPFi,,No,No,4249mm,1690mm,1503mm,2465mm,,,1065kg,,5 Speed,FWD,5,Power,5.15 metres ,Disc,Drum,"Tubeless,Radial",,4,,370-litres,,14 Seconds,155 Kmph,kolkata
260,0,Petrol,SUV,"29,882",Manual,1,1st Owner,Maruti,Maruti Vitara Brezza,2021,7295,LXI,₹ 6.73 Lakh,₹ 7.01 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",260,Feb 2021,Zero Dep,Petrol,5 Seats,"29,882 Kms",WB02,First Owner,1462 cc,Manual,2021,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Silver,K15B Petrol Engine,1462,103.26bhp@6000rpm,138nm@4400rpm,4.0,4.0,DOHC,,,,,3995mm,1790mm,1640mm,2500mm,,,1110-1130kg,1600kg,5 Speed,FWD,5,Electronic,5.2 metres,Ventilated Disc,Drum,"Tubeless,Radial",,5,,328,,,,kolkata
261,0,Petrol,Hatchback,"55,314",Manual,1,1st Owner,Toyota,Toyota Etios Liva,2011,2229,G,₹ 1.98 Lakh,₹ 2.05 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",261,Dec 2011,Third Party,Petrol,5 Seats,"55,314 Kms",WB06,First Owner,1197 cc,Manual,2011,,Red,,1197,,,4.0,4.0,undefined,,,,,,,,,,,895kg,,,,5,Power,,,,"Tubeless,Radial",14,4,,,,,,kolkata
262,0,Diesel,Sedan,"69,000",Manual,1,1st Owner,Hyundai,Hyundai Verna,2013,1833,1.6 CRDI,₹ 2.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",262,Feb 2013,Third Party insurance,Diesel,5 Seats,"69,000 Kms",WB02,First Owner,1582 cc,Manual,2013,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Black,VGT CRDi Diesel Engine ,1582,126.3bhp@4000rpm,259.9Nm@1900-2750rpm,4.0,4.0,DOHC,CRDI,,No,No,4370mm,1700mm,1475mm,2570mm,1495mm,1502mm,1220,,4 Speed,FWD,5,Power,5.2 metres,Disc,Disc,"Tubeless,Radial",15,4,,,,,,kolkata
263,0,Petrol,Sedan,"41,565",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,2015,10244,VXI,₹ 3.38 Lakh,₹ 3.43 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",263,Jan 2016,Comprehensive,Petrol,5 Seats,"41,565 Kms",WB24,Second Owner,1197 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",Blue,,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,3995mm,1735,1515,2450,,,880-915,1335,5 Speed,,5,Electric,4.8,Disc,Drum,"Tubeless, Radial",,4,160,378,,,,kolkata
264,0,Petrol,Hatchback,"46,624",Manual,2,2nd Owner,Hyundai,Hyundai i20,2011,1655,Asta 1.2,₹ 1.98 Lakh,₹ 2.06 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",264,Mar 2011,Comprehensive,Petrol,5 Seats,"46,624 Kms",WB20,Second Owner,1197 cc,Manual,2011,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Silver,Kappa VTVT Petrol Engine,1197,82.85bhp@6000rpm,113.7Nm@4000rpm,4.0,4.0,DOHC,MPFI,,No,No,3995mm,1710mm,1505mm,2525mm,1505mm,1503mm,1120,,5 Speed,FWD,5,Power,,Disc,Drum,"Tubeless,Radial",14,5,,,,,,kolkata
