,it,ft,bt,km,transmission,ownerno,owner,oem,model,modelyear,centralvariantid,variantname,price,priceactual,pricesaving,pricefixedtext,trendingtext,row_index,registration_year,insurance_validity,fuel_type,seats,kms_driven,rto,ownership,engine_displacement,transmission,year_of_manufacture,top_features,color,engine_type,displacement,max_power,max_torque,no_of_cylinder,values_per_cylinder,value_configuration,fuel_suppy_system,borex_stroke,turbo_charger,super_charger,length,width,height,wheel_base,front_tread,rear_tread,kerb_weight,gross_weight,gear_box,drive_type,seating_capacity,steering_type,turning_radius,front_brake_type,rear_brake_type,tyre_type,alloy_wheel_size,no_door_numbers,ground_clearance_unladen,cargo_volumn,compression_ratio,acceleration,top_speed,city
10,0,Petrol,Hatchback,"65,005",Manual,1,1st Owner,Maruti,Maruti Swift,2013,4202,VXI,₹ 3.11 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",10,Nov 2013,Comprehensive,Petrol,5 Seats,"65,005 Kms",WB22,First Owner,1197 cc,Manual,2013,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks",Grey,K Series Petrol Engine,1197,85.8bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,MPFI,73 X 71.5 mm,No,No,3850mm,1695mm,1530mm,2430mm,1485mm,1495mm,970kg,1415kg,5 Speed,FWD,5,Power,4.8 metres,Ventilated Disc,Drum,"Tubeless,Radial",14,5,,232-litres,10.0:1,12.29 Seconds,160km/hr,kolkata
11,0,Petrol,Hatchback,"2,657",Manual,1,1st Owner,Renault,Renault KWID,2022,7429,RXT,₹ 4.64 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",11,Jun 2022,Third Party,Petrol,5 Seats,"2,657 Kms",WB08,First Owner,799 cc,Manual,2022,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Red,Petrol Engine,799,53.26bhp@5600rpm,72Nm@4250rpm,3.0,4.0,DOHC,MPFi,,No,No,3731mm,1579mm,1474mm,2422mm,,,710,,5 Speed,FWD,5,Electric,4.9 metres,Disc,Drum,"Tubeless,Radial",,5,,279,,16 Seconds,,kolkata
12,0,Petrol,Hatchback,"16,000",Manual,1,1st Owner,Hyundai,Hyundai i10,2011,1569,Magna 1.1L,₹ 2.05 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",12,Apr 2011,Comprehensive,Petrol,5 Seats,"16,000 Kms",WB06,First Owner,1086 cc,Manual,2011,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",Grey,IRDE2 Engine,1086,68.05bhp@5500rpm,99.04Nm@4500rpm,4.0,3.0,SOHC,MPFI,,No,No,3585mm,1595mm,1550mm,2380mm,1400mm,1385mm,860kg,,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,Tubeless,,5,,225-litres,,14.3 Seconds,165 Kmph,kolkata
13,0,Diesel,SUV,"7,426",Automatic,1,1st Owner,Tata,Tata Harrier,2023,7496,XZA Plus AT BSVI,₹ 21.75 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",13,May 2023,Comprehensive,Diesel,5 Seats,"7,426 Kms",WB02,First Owner,1956 cc,Automatic,2023,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Red,Kryotec 2.0 L Turbocharged Engine,1956,167.67bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,,,,Yes,,4598mm,1894mm,1706mm,2741mm,,,1700,,6-Speed,,5,Power,,Disc,Disc,"Tubeless, Radial",17,5,,425,,,,kolkata
14,0,Petrol,Hatchback,"27,046",Automatic,1,1st Owner,Maruti,Maruti Baleno,2018,3964,1.2 CVT Delta,₹ 6.43 Lakh,₹ 6.56 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",14,Mar 2018,Comprehensive,Petrol,5 Seats,"27,046 Kms",WB08,First Owner,1197 cc,Automatic,2018,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Silver,VVT Petrol Engine,1197,83.1bhp@6000rpm,115Nm@4000rpm,4.0,4.0,DOHC,MPFI,,No,No,3995mm,1745mm,1510mm,2520mm,1515mm,1525mm,910kg,1360kg,CVT,FWD,5,Power,4.9 meters,Disc,Drum,"Tubeless,Radial",,5,,339-litres,,12.79 seconds,180 Kmph,kolkata
15,0,Diesel,SUV,"30,100",Automatic,1,1st Owner,Toyota,Toyota Fortuner,2021,7618,2.8 4WD AT,₹ 37.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",15,Aug 2021,Third Party insurance,Diesel,7 Seats,"30,100 Kms",WB08,First Owner,2755 cc,Automatic,2021,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Dvd Player",Black,1-GD FTV Engine,2755,174.5bhp@3400rpm,450Nm@1600-2400rpm,4.0,4.0,DOHC,Direct Injection,,Yes,No,4795mm,1855mm,1835mm,2745,,,2280,2735Kg,6 Speed,4WD,7,Power,5.8,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",18,5,,,,12.14 seconds,157.3 kmph,kolkata
16,0,Petrol,Hatchback,"9,000",Manual,1,1st Owner,Maruti,Maruti Wagon R,2022,8835,LXI BSVI,₹ 5.45 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",16,Nov 2022,Comprehensive,Petrol,5 Seats,"9,000 Kms",WB06,First Owner,998 cc,Manual,2022,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking",Brown,K10C,998,65.71bhp@5500rpm,89Nm@3500rpm,3.0,4.0,,,,,,3655mm,1620mm,1675mm,2435,1430,1440,810-835,1340Kg,,,5,Power,4.7,Disc,Drum,"Tubeless, Radial",,5,,341,,,,kolkata
17,0,Petrol,Hatchback,"17,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2022,8153,Sportz BSVI,₹ 7.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",17,Feb 2022,Third Party insurance,Petrol,5 Seats,"17,000 Kms",WB02,First Owner,1197 cc,Manual,2022,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Grey,1.2 l Kappa petrol,1197,81.80bhp@6000rpm,114.74Nm@4200rpm,4.0,4.0,,,,No,,3995mm,1775mm,1505mm,2580mm,,,1120,,5 Speed,,5,Electric,,Disc,Drum,"Tubeless, Radial",,5,,311,,,,kolkata
18,0,Diesel,SUV,"49,200",Automatic,1,1st Owner,Jeep,Jeep Compass,2021,7885,2.0 Longitude Option AT,₹ 16.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",18,Jan 2021,Comprehensive,Diesel,5 Seats,"49,200 Kms",WB06,First Owner,1956 cc,Automatic,2021,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Grey,2.0-Litre 4-Cyl Multijet II Engine,1956,170bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1551 kgs,,9 Speed,4X4,5,power,,Disc,Discs,"Radial, Tubless",17,5,,408-litres,,,,kolkata
19,0,Petrol,Hatchback,"35,000",Manual,2,2nd Owner,Hyundai,Hyundai i10,2009,1567,Era,₹ 2.25 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",19,Jan 2009,Comprehensive,Petrol,5 Seats,"35,000 Kms",WB20,Second Owner,1086 cc,Manual,2009,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Child Safety Locks, Passenger Side Rear View Mirror",Red,IRDE2 Engine,1086,68.05bhp@5500rpm,99.04Nm@4500rpm,4.0,3.0,SOHC,MPFI,,No,No,3585mm,1595mm,1550mm,2380mm,1400mm,1385mm,860kg,,5 Speed,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,Tubeless,,5,,225-litres,,14.3 Seconds,165 Kmph,kolkata
